@relation 'support'
@attribute 'row_id' numeric
@attribute 'fold' numeric
@data
14,1
49,1
56,1
64,1
66,1
74,1
117,1
119,1
122,1
124,1
174,1
204,1
249,1
254,1
255,1
278,1
290,1
292,1
293,1
301,1
311,1
313,1
318,1
335,1
343,1
350,1
370,1
376,1
380,1
389,1
391,1
405,1
439,1
444,1
458,1
477,1
505,1
507,1
520,1
521,1
541,1
554,1
559,1
560,1
565,1
571,1
580,1
605,1
622,1
664,1
707,1
716,1
726,1
735,1
744,1
745,1
758,1
783,1
814,1
817,1
832,1
844,1
850,1
873,1
879,1
881,1
882,1
916,1
925,1
945,1
950,1
955,1
968,1
988,1
1008,1
1011,1
1019,1
1022,1
1030,1
1032,1
1037,1
1058,1
1086,1
1098,1
1105,1
1106,1
1107,1
1135,1
1152,1
1183,1
1184,1
1201,1
1205,1
1217,1
1222,1
1227,1
1246,1
1251,1
1270,1
1282,1
1293,1
1310,1
1316,1
1343,1
1373,1
1378,1
1381,1
1383,1
1394,1
1399,1
1421,1
1424,1
1436,1
1447,1
1465,1
1468,1
1469,1
1498,1
1551,1
1579,1
1583,1
1601,1
1619,1
1648,1
1682,1
1707,1
1714,1
1715,1
1717,1
1736,1
1737,1
1748,1
1765,1
1769,1
1773,1
1774,1
1855,1
1863,1
1880,1
1914,1
1927,1
1931,1
1936,1
1941,1
1943,1
1954,1
1967,1
1970,1
1984,1
1990,1
2013,1
2041,1
2060,1
2070,1
2071,1
2077,1
2087,1
2092,1
2106,1
2112,1
2138,1
2140,1
2150,1
2151,1
2173,1
2201,1
2210,1
2221,1
2237,1
2261,1
2285,1
2290,1
2307,1
2311,1
2340,1
2360,1
2400,1
2466,1
2485,1
2491,1
2545,1
2558,1
2578,1
2594,1
2595,1
2656,1
2669,1
2683,1
2696,1
2698,1
2752,1
2816,1
2824,1
2890,1
2894,1
2914,1
2921,1
2925,1
2941,1
2944,1
2948,1
2954,1
2958,1
2960,1
2968,1
2978,1
2980,1
2991,1
3005,1
3007,1
3018,1
3050,1
3069,1
3119,1
3120,1
3140,1
3144,1
3166,1
3167,1
3177,1
3183,1
3199,1
3205,1
3207,1
3214,1
3228,1
3272,1
3308,1
3327,1
3399,1
3453,1
3465,1
3473,1
3484,1
3497,1
3499,1
3524,1
3544,1
3556,1
3583,1
3619,1
3631,1
3634,1
3671,1
3690,1
3705,1
3772,1
3780,1
3794,1
3829,1
3856,1
3860,1
3908,1
3910,1
3922,1
3937,1
3949,1
3957,1
3994,1
5,2
32,2
43,2
47,2
54,2
61,2
89,2
92,2
96,2
127,2
148,2
199,2
211,2
295,2
321,2
323,2
347,2
358,2
377,2
381,2
385,2
390,2
409,2
453,2
455,2
512,2
530,2
531,2
540,2
549,2
567,2
574,2
583,2
590,2
598,2
627,2
635,2
644,2
665,2
672,2
698,2
719,2
743,2
747,2
763,2
769,2
853,2
874,2
911,2
917,2
919,2
922,2
978,2
981,2
986,2
1015,2
1017,2
1028,2
1061,2
1081,2
1087,2
1101,2
1131,2
1173,2
1207,2
1221,2
1226,2
1233,2
1235,2
1245,2
1288,2
1296,2
1297,2
1339,2
1341,2
1371,2
1391,2
1416,2
1423,2
1426,2
1472,2
1499,2
1501,2
1504,2
1521,2
1532,2
1558,2
1562,2
1563,2
1581,2
1588,2
1603,2
1613,2
1623,2
1653,2
1654,2
1668,2
1671,2
1672,2
1677,2
1691,2
1777,2
1799,2
1802,2
1825,2
1850,2
1862,2
1864,2
1892,2
1910,2
1955,2
1968,2
1972,2
1993,2
1996,2
2001,2
2010,2
2021,2
2028,2
2048,2
2052,2
2058,2
2081,2
2113,2
2115,2
2145,2
2146,2
2156,2
2181,2
2186,2
2196,2
2206,2
2209,2
2216,2
2247,2
2249,2
2253,2
2267,2
2282,2
2291,2
2310,2
2314,2
2365,2
2412,2
2422,2
2454,2
2456,2
2467,2
2486,2
2524,2
2531,2
2550,2
2553,2
2576,2
2615,2
2618,2
2620,2
2636,2
2648,2
2671,2
2675,2
2691,2
2705,2
2725,2
2732,2
2754,2
2755,2
2772,2
2778,2
2779,2
2808,2
2830,2
2841,2
2844,2
2854,2
2858,2
2872,2
2880,2
2899,2
2943,2
2947,2
2984,2
2988,2
3001,2
3004,2
3009,2
3036,2
3061,2
3076,2
3080,2
3091,2
3103,2
3106,2
3149,2
3174,2
3182,2
3204,2
3206,2
3221,2
3227,2
3245,2
3251,2
3265,2
3267,2
3280,2
3286,2
3296,2
3313,2
3317,2
3320,2
3330,2
3331,2
3337,2
3377,2
3390,2
3400,2
3402,2
3429,2
3469,2
3475,2
3480,2
3482,2
3506,2
3534,2
3547,2
3557,2
3559,2
3560,2
3571,2
3572,2
3577,2
3601,2
3603,2
3605,2
3632,2
3648,2
3649,2
3660,2
3669,2
3674,2
3675,2
3684,2
3706,2
3725,2
3739,2
3774,2
3783,2
3786,2
3795,2
3807,2
3809,2
3841,2
3848,2
3859,2
3874,2
3909,2
3925,2
3940,2
3993,2
1,3
6,3
11,3
34,3
45,3
105,3
107,3
118,3
129,3
139,3
144,3
145,3
153,3
154,3
157,3
182,3
184,3
189,3
192,3
195,3
241,3
262,3
270,3
271,3
282,3
289,3
312,3
325,3
331,3
345,3
387,3
394,3
399,3
450,3
467,3
469,3
480,3
510,3
545,3
551,3
558,3
586,3
606,3
658,3
678,3
702,3
710,3
718,3
723,3
724,3
731,3
755,3
760,3
770,3
777,3
813,3
822,3
828,3
843,3
871,3
883,3
906,3
912,3
937,3
939,3
941,3
984,3
985,3
990,3
1053,3
1059,3
1063,3
1064,3
1110,3
1159,3
1194,3
1195,3
1219,3
1223,3
1224,3
1228,3
1232,3
1242,3
1283,3
1301,3
1309,3
1314,3
1315,3
1318,3
1321,3
1331,3
1351,3
1370,3
1385,3
1456,3
1458,3
1461,3
1478,3
1497,3
1569,3
1596,3
1635,3
1637,3
1656,3
1675,3
1681,3
1710,3
1724,3
1727,3
1734,3
1739,3
1783,3
1784,3
1789,3
1835,3
1845,3
1858,3
1866,3
1868,3
1891,3
1895,3
1908,3
1920,3
1946,3
1960,3
1989,3
2005,3
2015,3
2024,3
2036,3
2053,3
2093,3
2114,3
2125,3
2132,3
2139,3
2155,3
2177,3
2205,3
2208,3
2228,3
2239,3
2250,3
2251,3
2262,3
2280,3
2293,3
2318,3
2350,3
2358,3
2363,3
2380,3
2401,3
2408,3
2423,3
2437,3
2455,3
2490,3
2498,3
2514,3
2527,3
2529,3
2557,3
2571,3
2603,3
2611,3
2612,3
2633,3
2638,3
2649,3
2655,3
2666,3
2668,3
2721,3
2749,3
2791,3
2809,3
2810,3
2832,3
2833,3
2845,3
2857,3
2888,3
2895,3
2915,3
2922,3
2949,3
2955,3
2966,3
2969,3
2972,3
2977,3
2989,3
2990,3
2993,3
3026,3
3049,3
3067,3
3084,3
3097,3
3105,3
3156,3
3172,3
3181,3
3211,3
3243,3
3248,3
3282,3
3299,3
3323,3
3324,3
3335,3
3351,3
3353,3
3385,3
3388,3
3401,3
3409,3
3417,3
3483,3
3495,3
3504,3
3511,3
3517,3
3527,3
3530,3
3540,3
3563,3
3570,3
3612,3
3638,3
3651,3
3652,3
3665,3
3688,3
3689,3
3697,3
3702,3
3716,3
3731,3
3746,3
3750,3
3763,3
3770,3
3771,3
3777,3
3799,3
3823,3
3826,3
3834,3
3847,3
3849,3
3852,3
3866,3
3904,3
3912,3
3962,3
3989,3
3996,3
8,4
37,4
88,4
93,4
101,4
102,4
112,4
136,4
140,4
179,4
180,4
185,4
198,4
208,4
216,4
269,4
273,4
294,4
338,4
362,4
366,4
375,4
396,4
397,4
426,4
451,4
459,4
473,4
486,4
488,4
508,4
524,4
546,4
555,4
576,4
581,4
591,4
609,4
612,4
614,4
641,4
657,4
680,4
692,4
705,4
709,4
712,4
728,4
750,4
781,4
788,4
790,4
795,4
799,4
816,4
834,4
849,4
851,4
894,4
914,4
918,4
930,4
936,4
949,4
963,4
972,4
980,4
995,4
1041,4
1052,4
1070,4
1074,4
1078,4
1091,4
1093,4
1095,4
1100,4
1112,4
1142,4
1155,4
1166,4
1190,4
1202,4
1204,4
1215,4
1238,4
1243,4
1269,4
1274,4
1281,4
1307,4
1329,4
1354,4
1364,4
1376,4
1441,4
1467,4
1513,4
1526,4
1536,4
1582,4
1590,4
1598,4
1602,4
1616,4
1644,4
1678,4
1679,4
1690,4
1711,4
1746,4
1778,4
1811,4
1823,4
1839,4
1842,4
1859,4
1874,4
1898,4
1911,4
1913,4
1963,4
1966,4
1973,4
2003,4
2018,4
2027,4
2045,4
2047,4
2057,4
2059,4
2063,4
2091,4
2099,4
2104,4
2118,4
2133,4
2135,4
2161,4
2178,4
2190,4
2191,4
2194,4
2200,4
2212,4
2224,4
2225,4
2229,4
2246,4
2260,4
2271,4
2277,4
2278,4
2304,4
2305,4
2332,4
2336,4
2338,4
2354,4
2376,4
2378,4
2388,4
2398,4
2492,4
2494,4
2559,4
2563,4
2568,4
2580,4
2624,4
2640,4
2652,4
2660,4
2661,4
2664,4
2687,4
2699,4
2709,4
2710,4
2735,4
2785,4
2797,4
2815,4
2849,4
2863,4
2869,4
2870,4
2887,4
2891,4
2896,4
2904,4
2907,4
2909,4
2911,4
2918,4
2971,4
2975,4
3003,4
3015,4
3029,4
3044,4
3066,4
3115,4
3127,4
3131,4
3139,4
3141,4
3159,4
3175,4
3185,4
3220,4
3225,4
3241,4
3256,4
3264,4
3294,4
3301,4
3302,4
3306,4
3332,4
3349,4
3378,4
3379,4
3394,4
3403,4
3412,4
3416,4
3430,4
3441,4
3462,4
3481,4
3493,4
3514,4
3549,4
3553,4
3569,4
3573,4
3607,4
3610,4
3647,4
3666,4
3681,4
3683,4
3698,4
3703,4
3711,4
3721,4
3758,4
3792,4
3798,4
3817,4
3843,4
3855,4
3857,4
3896,4
3907,4
3918,4
3974,4
3976,4
2,5
3,5
4,5
28,5
46,5
80,5
97,5
120,5
125,5
141,5
143,5
156,5
158,5
159,5
214,5
215,5
218,5
223,5
230,5
246,5
247,5
260,5
275,5
276,5
281,5
283,5
302,5
355,5
365,5
432,5
448,5
452,5
460,5
472,5
492,5
496,5
503,5
535,5
537,5
556,5
585,5
619,5
623,5
626,5
628,5
631,5
659,5
662,5
668,5
686,5
708,5
717,5
733,5
753,5
762,5
825,5
831,5
833,5
839,5
854,5
856,5
866,5
868,5
870,5
878,5
887,5
904,5
905,5
946,5
948,5
999,5
1002,5
1035,5
1056,5
1060,5
1062,5
1111,5
1113,5
1118,5
1134,5
1151,5
1167,5
1170,5
1172,5
1179,5
1239,5
1249,5
1254,5
1256,5
1259,5
1268,5
1276,5
1291,5
1294,5
1304,5
1311,5
1325,5
1363,5
1365,5
1409,5
1448,5
1466,5
1473,5
1484,5
1494,5
1507,5
1533,5
1565,5
1608,5
1609,5
1624,5
1632,5
1640,5
1665,5
1697,5
1731,5
1752,5
1761,5
1767,5
1797,5
1810,5
1837,5
1841,5
1854,5
1856,5
1857,5
1876,5
1884,5
1906,5
1916,5
1924,5
1937,5
1950,5
1969,5
1987,5
2004,5
2016,5
2097,5
2102,5
2119,5
2153,5
2162,5
2174,5
2180,5
2198,5
2207,5
2233,5
2240,5
2257,5
2258,5
2263,5
2298,5
2299,5
2309,5
2320,5
2331,5
2337,5
2341,5
2359,5
2397,5
2402,5
2403,5
2404,5
2440,5
2457,5
2463,5
2480,5
2500,5
2503,5
2513,5
2516,5
2521,5
2526,5
2570,5
2575,5
2577,5
2644,5
2645,5
2665,5
2695,5
2729,5
2731,5
2756,5
2766,5
2769,5
2786,5
2789,5
2802,5
2811,5
2819,5
2831,5
2842,5
2859,5
2871,5
2920,5
2929,5
2945,5
2957,5
2981,5
3013,5
3035,5
3045,5
3048,5
3051,5
3074,5
3122,5
3146,5
3196,5
3201,5
3209,5
3216,5
3259,5
3328,5
3333,5
3343,5
3348,5
3352,5
3370,5
3436,5
3448,5
3450,5
3464,5
3471,5
3479,5
3518,5
3523,5
3528,5
3533,5
3541,5
3548,5
3579,5
3587,5
3590,5
3598,5
3624,5
3626,5
3633,5
3653,5
3656,5
3691,5
3719,5
3720,5
3734,5
3773,5
3825,5
3840,5
3879,5
3880,5
3897,5
3898,5
3921,5
3932,5
3944,5
3945,5
3953,5
3961,5
3969,5
3972,5
3980,5
13,1
25,1
44,1
52,1
55,1
57,1
63,1
86,1
91,1
94,1
100,1
123,1
131,1
150,1
152,1
162,1
165,1
166,1
175,1
177,1
187,1
200,1
201,1
202,1
219,1
235,1
237,1
242,1
257,1
266,1
274,1
280,1
288,1
298,1
303,1
305,1
307,1
315,1
320,1
337,1
339,1
341,1
344,1
356,1
357,1
359,1
360,1
361,1
363,1
364,1
367,1
373,1
374,1
403,1
406,1
410,1
413,1
417,1
422,1
431,1
434,1
440,1
443,1
457,1
462,1
463,1
483,1
484,1
487,1
489,1
493,1
502,1
511,1
514,1
522,1
523,1
526,1
527,1
528,1
536,1
538,1
544,1
594,1
599,1
603,1
617,1
632,1
639,1
640,1
642,1
646,1
652,1
654,1
656,1
660,1
663,1
675,1
682,1
684,1
685,1
727,1
730,1
741,1
749,1
756,1
759,1
761,1
768,1
779,1
780,1
782,1
786,1
804,1
806,1
808,1
809,1
815,1
827,1
829,1
835,1
836,1
841,1
846,1
860,1
861,1
863,1
880,1
886,1
888,1
899,1
903,1
951,1
960,1
969,1
979,1
982,1
991,1
1006,1
1016,1
1024,1
1033,1
1072,1
1097,1
1104,1
1115,1
1125,1
1137,1
1141,1
1145,1
1149,1
1150,1
1168,1
1175,1
1182,1
1191,1
1199,1
1208,1
1209,1
1210,1
1213,1
1236,1
1250,1
1252,1
1253,1
1278,1
1289,1
1292,1
1300,1
1303,1
1312,1
1313,1
1320,1
1322,1
1326,1
1342,1
1350,1
1353,1
1367,1
1369,1
1414,1
1415,1
1425,1
1430,1
1432,1
1439,1
1443,1
1451,1
1453,1
1479,1
1483,1
1488,1
1489,1
1490,1
1493,1
1496,1
1502,1
1506,1
1516,1
1527,1
1529,1
1538,1
1541,1
1542,1
1543,1
1544,1
1548,1
1550,1
1568,1
1570,1
1577,1
1580,1
1595,1
1599,1
1600,1
1605,1
1620,1
1622,1
1626,1
1630,1
1633,1
1643,1
1649,1
1651,1
1685,1
1728,1
1740,1
1741,1
1747,1
1751,1
1764,1
1776,1
1782,1
1790,1
1793,1
1804,1
1806,1
1813,1
1818,1
1840,1
1848,1
1852,1
1853,1
1860,1
1875,1
1878,1
1883,1
1887,1
1889,1
1897,1
1903,1
1930,1
1933,1
1957,1
1958,1
1961,1
1974,1
1975,1
1983,1
1985,1
