@relation 'wbc1'
@attribute 'row_id' numeric
@attribute 'fold' numeric
@data
3,1
10,1
13,1
20,1
28,1
34,1
35,1
38,1
39,1
40,1
43,1
52,1
53,1
59,1
71,1
80,1
116,1
146,1
165,1
179,1
183,1
187,1
26,2
32,2
45,2
47,2
49,2
58,2
70,2
81,2
87,2
88,2
98,2
100,2
102,2
107,2
123,2
135,2
150,2
156,2
159,2
171,2
178,2
190,2
2,3
6,3
14,3
22,3
27,3
31,3
41,3
46,3
55,3
62,3
74,3
84,3
90,3
101,3
104,3
109,3
117,3
133,3
149,3
168,3
180,3
186,3
7,4
15,4
16,4
17,4
19,4
24,4
61,4
63,4
78,4
85,4
93,4
99,4
110,4
111,4
127,4
130,4
138,4
139,4
152,4
158,4
170,4
181,4
1,5
5,5
12,5
18,5
25,5
48,5
65,5
67,5
73,5
77,5
83,5
86,5
91,5
124,5
134,5
142,5
148,5
153,5
157,5
176,5
185,5
33,1
44,1
54,1
56,1
57,1
64,1
75,1
96,1
118,1
121,1
122,1
131,1
140,1
141,1
163,1
173,1
182,1
23,2
29,2
42,2
50,2
68,2
95,2
103,2
106,2
115,2
128,2
151,2
166,2
169,2
172,2
177,2
184,2
4,3
9,3
11,3
30,3
79,3
113,3
119,3
136,3
143,3
147,3
154,3
160,3
161,3
167,3
174,3
175,3
8,4
21,4
36,4
37,4
66,4
69,4
76,4
89,4
112,4
125,4
126,4
137,4
144,4
145,4
162,4
188,4
51,5
60,5
72,5
82,5
92,5
94,5
97,5
105,5
108,5
114,5
120,5
129,5
132,5
155,5
164,5
189,5
